station_name,days_recorded
Shadipur CPCB,2465
NSIT Dwarka CPCB,2460
Mandir Marg DPCC,2454
DTU CPCB,2452
IHBAS Dilshad Garden CPCB,2449
Sirifort CPCB,2420
ITO CPCB,2409
R K Puram DPCC,2381
Punjabi Bagh DPCC,2360
Nehru Nagar DPCC,2149
Okhla Phase-2 DPCC,2147
Patparganj DPCC,2144
Dwarka Sector 8 DPCC,2144
Jahangirpuri DPCC,2141
Ashok Vihar DPCC,2141
Rohini DPCC,2138
Major Dhyan Chand National Stadium DPCC AQI,2138
Dr. Karni Singh Shooting Range DPCC,2138
Wazirpur DPCC,2132
Jawaharlal Nehru Stadium DPCC,2132
Anand Vihar DPCC,2131
Vivek Vihar DPCC,2131
Narela DPCC,2127
CRRI Mathura Road IMD,2095
Najafgarh DPCC,2090
Aya Nagar IMD,2070
Lodhi Road IMD,2062
IGI Airport T3 IMD,2028
Bawana DPCC,1996
Sri Aurobindo Marg DPCC,1994
Mundka DPCC,1984
North Campus DU IMD,1976
Pusa IMD,1974
Pusa DPCC,1967
Alipur DPCC,1846
Burari Crossing IMD,1367
Chandni Chowk IITM,761
Lodhi Road IITM,738
