station_name,severe_share
Anand Vihar DPCC,14.547160957297043
Mundka DPCC,12.449596774193548
Jahangirpuri DPCC,12.19056515646894
Wazirpur DPCC,11.25703564727955
Rohini DPCC,10.19644527595884
Nehru Nagar DPCC,9.958120055839926
Bawana DPCC,9.318637274549099
Vivek Vihar DPCC,9.009854528390427
Dwarka Sector 8 DPCC,8.675373134328359
Punjabi Bagh DPCC,8.305084745762711
Ashok Vihar DPCC,8.033629145259225
Patparganj DPCC,7.602611940298507
Chandni Chowk IITM,7.358738501971091
DTU CPCB,7.259380097879283
Narela DPCC,7.099200752233192
North Campus DU IMD,6.477732793522267
Okhla Phase-2 DPCC,6.380996739636703
R K Puram DPCC,6.089878202435951
CRRI Mathura Road IMD,6.062052505966587
ITO CPCB,5.770029057700291
Alipur DPCC,5.5796316359696645
Sirifort CPCB,5.413223140495868
Pusa DPCC,5.287239450940518
Shadipur CPCB,5.233265720081136
Burari Crossing IMD,5.120702267739576
Jawaharlal Nehru Stadium DPCC,5.112570356472795
Major Dhyan Chand National Stadium DPCC AQI,4.911131898971001
Dr. Karni Singh Shooting Range DPCC,4.1627689429373245
NSIT Dwarka CPCB,4.024390243902439
Mandir Marg DPCC,3.6267318663406685
Sri Aurobindo Marg DPCC,3.159478435305918
IGI Airport T3 IMD,2.7613412228796843
IHBAS Dilshad Garden CPCB,2.735810534912209
Lodhi Road IMD,2.521823472356935
Pusa IMD,2.2289766970618032
Najafgarh DPCC,2.1052631578947367
Aya Nagar IMD,1.932367149758454
Lodhi Road IITM,0.6775067750677507
