station_name,mean_aqi,std_dev
Anand Vihar DPCC,260.36990199148545,115.31006914715465
Mundka DPCC,247.1980409074948,119.7924485276215
Chandni Chowk IITM,244.07064701438796,99.98330325977895
Jahangirpuri DPCC,241.71946940869475,119.74739488203866
Wazirpur DPCC,239.88283490698373,113.44189878963049
Bawana DPCC,235.89530992569703,117.09387880641796
Dwarka Sector 8 DPCC,233.47916213230886,114.66196485639959
Rohini DPCC,229.12527633563116,119.88270967225617
Narela DPCC,227.25942806711404,110.91966976218909
Vivek Vihar DPCC,221.8030966109471,114.6685461005122
Punjabi Bagh DPCC,221.22252784188348,111.37768736524293
Nehru Nagar DPCC,221.18063438501827,119.95245828936716
NSIT Dwarka CPCB,218.7198922227834,106.41948484964831
DTU CPCB,218.57207202207957,114.60315588239705
Burari Crossing IMD,216.96700682144714,106.97021883176197
CRRI Mathura Road IMD,216.89867092431888,111.76942928451611
R K Puram DPCC,216.6788689920823,110.64180201131346
Ashok Vihar DPCC,216.28819742523729,117.17246865584869
Sirifort CPCB,216.06327938575635,110.95528549485978
Shadipur CPCB,213.2232536336782,108.67458356949156
North Campus DU IMD,213.10296177234235,110.33153894078485
ITO CPCB,209.94330993618624,108.82962167793185
Okhla Phase-2 DPCC,209.89122811322994,112.79276515730272
Alipur DPCC,209.3425525141873,114.91753768265693
Pusa DPCC,207.1618112993025,111.71757239865256
Patparganj DPCC,205.30087307663425,116.48615165254067
Jawaharlal Nehru Stadium DPCC,202.97272633821194,111.88157038915374
Major Dhyan Chand National Stadium DPCC AQI,202.29825205527112,110.125889050805
Dr. Karni Singh Shooting Range DPCC,195.23411729165227,107.07227032248717
Mandir Marg DPCC,194.97161017007485,107.90559513369787
IGI Airport T3 IMD,194.62679310560043,101.62052262086262
IHBAS Dilshad Garden CPCB,190.45534204193132,99.12862250651995
Najafgarh DPCC,185.08792040607707,101.7561957413364
Pusa IMD,184.70266265846607,99.96051417915452
Sri Aurobindo Marg DPCC,181.96043298870853,108.56028830641368
Lodhi Road IMD,181.91456124774479,98.06034158565397
Aya Nagar IMD,179.2971997963325,96.45762248575525
Lodhi Road IITM,165.93848249983103,90.63965100570611
